MemTotal:        3952676 kB
MemFree:         3838296 kB
MemAvailable:    3830544 kB
Buffers:            4056 kB
Cached:            43236 kB
SwapCached:            0 kB
Active:            13708 kB
Inactive:          41504 kB
Active(anon):        240 kB
Inactive(anon):    16600 kB
Active(file):      13468 kB
Inactive(file):    24904 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               144 kB
Writeback:             0 kB
AnonPages:          8224 kB
Mapped:            13288 kB
Shmem:              8920 kB
KReclaimable:      13704 kB
Slab:              32644 kB
SReclaimable:      13704 kB
SUnreclaim:        18940 kB
KernelStack:        2320 kB
PageTables:          740 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1976336 kB
Committed_AS:      54012 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        4756 kB
VmallocChunk:          0 kB
Percpu:             1632 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           31200 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
