MemTotal:        7853484 kB
MemFree:         7722044 kB
MemAvailable:    7663084 kB
Buffers:            5828 kB
Cached:            33944 kB
SwapCached:            0 kB
Active:            11568 kB
Inactive:          37356 kB
Active(anon):        172 kB
Inactive(anon):    18056 kB
Active(file):      11396 kB
Inactive(file):    19300 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:          9448 kB
Mapped:            13232 kB
Shmem:              9072 kB
KReclaimable:      18060 kB
Slab:              41772 kB
SReclaimable:      18060 kB
SUnreclaim:        23712 kB
KernelStack:        2600 kB
PageTables:          924 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3926740 kB
Committed_AS:      55400 kB
VmallocTotal:   133143592960 kB
VmallocUsed:        4980 kB
VmallocChunk:          0 kB
Percpu:             1664 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:          32768 kB
CmaFree:           29696 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
